mask,asm,entropy,contrast,variance,homogeneity,class
"(0, 3)",1.0270972702806611,9.013569515679501,9183.670588235293,164.8705882352941,0.0010733416969959525,background
"(3, 0)",1.2763398692810455,3.991431564500718,9938.623529411761,170.15294117647053,0.0008915247644997167,background
"(3, -3)",1.2763398692810455,3.991431564500718,8944.105882352942,161.35294117647064,0.000994058545761992,background
"(0, 3)",1.487443291041907,15.31074220371039,20505.262745098047,358.45490196078435,0.0020167412387286174,canal
"(3, 0)",1.3049288735101885,3.382169401287523,9894.67843137255,165.3058823529412,0.0007900355655972908,canal
"(3, -3)",1.3049288735101885,3.382169401287523,8927.796078431375,156.98823529411763,0.0008772833177257556,canal
"(0, 3)",39.51409457900824,146.67006656424178,110129.11764705887,3351.494117647059,0.15129214244621086,dentina
"(3, 0)",6.558539023452519,7.190249561081014,23998.156862745098,505.7411764705882,0.005093626717997903,dentina
"(3, -3)",6.558539023452519,7.190249561081014,21060.80392156863,473.3764705882354,0.005845534051404466,dentina
"(0, 3)",1.0262206843521713,2.4272145360987514,6346.239215686278,103.34509803921571,0.0004518505870485955,pinos
"(3, 0)",1.0204998077662437,1.374368514367725,14.180392156862741,2.015686274509804,1.0609122877294257,pinos
"(3, -3)",1.0204998077662437,1.374368514367725,14.933333333333334,4.141176470588235,0.24825715222949213,pinos
"(0, 3)",1.0268204536716645,8.947446185075714,9147.82745098039,164.12549019607843,0.0010662278107465817,background
"(3, 0)",1.2754325259515569,3.98211873813314,9929.90588235294,169.96862745098036,0.000889723538484077,background
"(3, -3)",1.2754325259515569,3.98211873813314,8936.458823529414,161.1803921568628,0.000991999642896888,background
"(0, 3)",1.532072279892349,14.988760186095949,20675.5725490196,360.4588235294117,0.002006825576361422,canal
"(3, 0)",1.3028681276432137,3.256782729694788,9792.38431372549,163.30980392156863,0.0007746020598901042,canal
"(3, -3)",1.3028681276432137,3.256782729694788,8837.125490196078,155.10980392156864,0.000859812557465788,canal
"(0, 3)",46.12767397154958,150.01918273963153,119860.5137254902,3640.15294117647,0.16366403806602253,dentina
"(3, 0)",6.782929642445212,7.156462620103905,24448.384313725495,515.1607843137256,0.005188232438837309,dentina
"(3, -3)",6.782929642445212,7.156462620103905,21456.3137254902,482.1960784313726,0.00595426417021496,dentina
"(0, 3)",1.0258054594386765,2.42565350793017,6329.690196078434,103.08627450980393,0.0004511044325182719,pinos
"(3, 0)",1.021038062283737,1.3820681718450496,14.298039215686273,2.031372549019608,1.0612977611851608,pinos
"(3, -3)",1.021038062283737,1.3820681718450496,14.992156862745098,4.145098039215686,0.25216062130943184,pinos
"(0, 3)",1.0251441753171855,8.89001184153621,9056.19607843137,162.32941176470584,0.0010525759151468247,background
"(3, 0)",1.2576393694732795,3.9470898844744986,9763.898039215685,167.05882352941174,0.0008741425937389912,background
"(3, -3)",1.2576393694732795,3.9470898844744986,8787.45098039216,158.42352941176475,0.0009746544733767401,background
"(0, 3)",1.443014225297962,14.969816199259562,19537.788235294116,342.0470588235294,0.0019602678780029762,canal
"(3, 0)",1.264544405997694,3.4469734539736265,9566.01568627451,160.14901960784314,0.0007751088291224976,canal
